0.031721,0.000612,0.263678,-177.235,75.41,-176.037
0.187606,0.007306,0.40065,177.804,32.583,-178.805
0.296106,-0.095924,0.309048,168.383,26.26,-173.392
0.234774,0.16499,0.328128,-167.191,32.959,-177.071
0.31671,0.209485,0.263797,-147.984,5.728,-134.114
0.268165,0.081386,0.385493,-178.122,31.194,172.29
0.215017,0.058351,0.366318,-177.685,34.151,174.088
0.201665,-0.103956,0.299937,171.233,39.606,-163.377
0.164692,-0.091957,0.238218,173.086,48.005,-166.82
0.204021,-0.093066,0.263636,-176.682,48.575,-151.868
0.198339,-0.100998,0.355638,-167.992,39.618,-142.106
0.116945,0.020274,0.227202,175.957,52.862,-175.111
0.180883,0.182595,0.299574,-160.91,39.593,-168.152
0.23021,0.143034,0.334706,-175.718,38.865,164.87
0.302204,0.131555,0.26861,-163.713,31.901,161.86
0.331545,0.022836,0.313595,-178.515,19.183,-179.399
0.251239,0.072025,0.290633,-169.463,34.875,-177.388
0.119656,0.015072,0.189014,176.259,59.154,-177.315
0.156486,-0.048702,0.203738,141.933,34.624,133.925
0.145898,0.013456,0.303311,-179.895,45.454,-174.352
0.352352,-0.127548,0.299797,168.241,20.357,179.665
0.314759,-0.115539,0.352868,174.724,26.244,-177.579
0.250056,-0.080008,0.284626,167.245,28.775,171.417
0.242517,-0.031977,0.321324,-170.458,34.939,-160.938
0.221494,0.090981,0.310493,170.134,37.809,146.829
0.206316,0.03104,0.330706,-175.821,36.838,-172.441
0.181618,0.004971,0.234445,176.689,47.622,175.984
0.189319,0.11689,0.30121,-168.499,40.204,-179.034
0.254457,0.027691,0.338533,-166.531,33.078,-163.981
0.337184,0.040509,0.329658,-166.948,26.6,-165.467
0.24637,0.016668,0.300415,-176.132,32.248,-173.848
0.263085,0.007068,0.272057,179.657,30.979,179.935
0.155139,0.006629,0.209391,177.234,51.209,178.9
0.283335,0.161079,0.322313,-154.128,25.98,-159.688
0.283352,0.161099,0.322317,-154.134,25.992,-159.681
